"Ticker","company_name","Return","Volatility","Cluster","Cluster_Label"
"MTB","M&T Bank",0.0573605653998843,0.307293478013314,"3","Stable Yield"
"K","Kellanova",-0.0396854436548925,0.0551985624620262,"2","Aggressive Growth"
"ODFL","Old Dominion",-0.165574937396072,0.437301720199566,"3","Stable Yield"
"KEYS","Keysight Technologies",0.0387420274092411,0.376101190161976,"3","Stable Yield"
"FITB","Fifth Third Bancorp",-0.0520063136369102,0.330206523451524,"2","Aggressive Growth"
"ATO","Atmos Energy",0.22557895309935,0.195344710881107,"3","Stable Yield"
"EFX","Equifax",0.0672379326311019,0.40531278794306,"3","Stable Yield"
"AEE","Ameren",0.158782424843298,0.205038437896508,"3","Stable Yield"
"PPL","PPL Corporation",0.107828600841241,0.204452885593145,"2","Aggressive Growth"
"EXPE","Expedia Group",-0.196048900120469,0.517238896154516,"1","Conservative / Defensive"
"AWK","American Water Works",0.241822306392679,0.276819013921914,"3","Stable Yield"
"ROL","Rollins, Inc.",0.423428980772583,0.217578676715137,"3","Stable Yield"
"BR","Broadridge Financial Solutions",0.143669270054543,0.242132725929369,"3","Stable Yield"
"FE","FirstEnergy",0.0181846139673781,0.265692319409304,"2","Aggressive Growth"
"HPQ","HP Inc.",-0.589966271699533,0.432674415846588,"1","Conservative / Defensive"
"SYF","Synchrony Financial",0.0470228399532809,0.485171393721343,"1","Conservative / Defensive"
"TDY","Teledyne Technologies",0.233428143054948,0.264410061652042,"3","Stable Yield"
"MTD","Mettler Toledo",-0.0800988818321437,0.395904802674212,"3","Stable Yield"
"AVB","AvalonBay Communities",-0.134442785750622,0.253117987516578,"3","Stable Yield"
"ES","Eversource Energy",0.216448060480785,0.284514069532505,"2","Aggressive Growth"
"DXCM","Dexcom",0.221046244278029,0.46754659318025,"2","Aggressive Growth"
"GIS","General Mills",-0.4250395446256,0.262881089984078,"2","Aggressive Growth"
"CNP","CenterPoint Energy",0.321135564114543,0.179264507466877,"2","Aggressive Growth"
